﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าทำบัญชี ค่าปรึกษา ค่าทนายความ ค่าตรวจสอบบัญชี,มากกว่า 200 คน,562988.35,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,รวม,724798.83,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,1 - 15 คน,12925.74,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,16 - 25 คน,1078.88,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,26 - 30 คน,6823.87,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,31 - 50 คน,4375.35,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,51 - 200 คน,314236.14,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าใช้จ่ายในการฝึกอบรม ค่าวิจัยวางแผนและพัฒนา ค่าจ้างผู้เชี่ยวชาญต่างประเทศ,มากกว่า 200 คน,385358.85,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าโฆษณา,รวม,2345650.51,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าโฆษณา,1 - 15 คน,70545.74,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าโฆษณา,16 - 25 คน,31524.39,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าโฆษณา,26 - 30 คน,23221.13,พันบาท,สำนักงานสถิติแห่งชาติ
